X1,Z1,X3,Z3,X5,Z5,X7,Z7
-1.26E-05,1.63E-05,-2.73E-05,-2.71E-05,-1.94E-05,3.57E-05,-5.86E-05,-3.84E-05
-1.67E-05,1.29E-05,-2.75E-05,-3.18E-05,-2.89E-05,3.06E-05,-5.53E-05,-2.46E-05
-1.96E-05,9.27E-06,-2.66E-05,-3.68E-05,-3.76E-05,2.55E-05,-5.11E-05,-1.13E-05
-2.12E-05,5.53E-06,-2.48E-05,-4.17E-05,-4.46E-05,2.07E-05,-4.64E-05,2.56E-07
-2.11E-05,2.04E-06,-2.22E-05,-4.60E-05,-4.92E-05,1.65E-05,-4.14E-05,8.96E-06
-1.93E-05,-7.93E-07,-1.88E-05,-4.93E-05,-5.14E-05,1.32E-05,-3.69E-05,1.39E-05
-1.57E-05,-2.54E-06,-1.50E-05,-5.13E-05,-5.12E-05,1.09E-05,-3.34E-05,1.46E-05
-1.03E-05,-2.92E-06,-1.11E-05,-5.21E-05,-4.91E-05,9.35E-06,-3.16E-05,1.09E-05
-3.51E-06,-1.99E-06,-7.27E-06,-5.21E-05,-4.58E-05,8.69E-06,-3.20E-05,3.27E-06
3.64E-06,-1.03E-07,-4.08E-06,-5.17E-05,-4.15E-05,8.82E-06,-3.45E-05,-7.59E-06
1.01E-05,2.17E-06,-1.93E-06,-5.16E-05,-3.69E-05,9.67E-06,-3.90E-05,-2.06E-05
1.48E-05,4.25E-06,-1.32E-06,-5.22E-05,-3.23E-05,1.12E-05,-4.49E-05,-3.45E-05
1.73E-05,5.77E-06,-2.62E-06,-5.38E-05,-2.80E-05,1.32E-05,-5.13E-05,-4.81E-05
1.74E-05,6.57E-06,-5.96E-06,-5.65E-05,-2.44E-05,1.55E-05,-5.75E-05,-6.05E-05
1.57E-05,6.61E-06,-1.12E-05,-6.02E-05,-2.16E-05,1.81E-05,-6.30E-05,-7.13E-05
1.27E-05,5.96E-06,-1.79E-05,-6.46E-05,-1.96E-05,2.08E-05,-6.74E-05,-8.02E-05
9.31E-06,4.73E-06,-2.54E-05,-6.92E-05,-1.83E-05,2.34E-05,-7.07E-05,-8.71E-05
6.24E-06,2.99E-06,-3.29E-05,-7.36E-05,-1.76E-05,2.55E-05,-7.27E-05,-9.20E-05
3.89E-06,7.69E-07,-3.96E-05,-7.78E-05,-1.73E-05,2.69E-05,-7.34E-05,-9.46E-05
2.24E-06,-1.93E-06,-4.47E-05,-8.16E-05,-1.75E-05,2.69E-05,-7.27E-05,-9.48E-05
9.59E-07,-5.04E-06,-4.77E-05,-8.55E-05,-1.85E-05,2.52E-05,-7.06E-05,-9.29E-05
-3.66E-07,-8.32E-06,-4.88E-05,-8.93E-05,-2.06E-05,2.12E-05,-6.73E-05,-8.90E-05
-1.98E-06,-1.14E-05,-4.81E-05,-9.27E-05,-2.43E-05,1.51E-05,-6.31E-05,-8.35E-05
-3.91E-06,-1.40E-05,-4.63E-05,-9.51E-05,-2.96E-05,7.22E-06,-5.84E-05,-7.71E-05
-5.94E-06,-1.60E-05,-4.42E-05,-9.59E-05,-3.65E-05,-1.83E-06,-5.37E-05,-7.02E-05
-7.63E-06,-1.71E-05,-4.24E-05,-9.47E-05,-4.44E-05,-1.13E-05,-4.91E-05,-6.33E-05
-8.44E-06,-1.75E-05,-4.16E-05,-9.13E-05,-5.26E-05,-2.06E-05,-4.51E-05,-5.67E-05
-8.08E-06,-1.70E-05,-4.17E-05,-8.59E-05,-6.02E-05,-2.90E-05,-4.17E-05,-5.09E-05
-6.68E-06,-1.60E-05,-4.24E-05,-7.88E-05,-6.62E-05,-3.59E-05,-3.92E-05,-4.61E-05
-4.70E-06,-1.47E-05,-4.34E-05,-7.04E-05,-6.98E-05,-4.06E-05,-3.78E-05,-4.27E-05
-2.75E-06,-1.37E-05,-4.40E-05,-6.13E-05,-7.06E-05,-4.28E-05,-3.74E-05,-4.10E-05
-1.24E-06,-1.31E-05,-4.37E-05,-5.24E-05,-6.88E-05,-4.23E-05,-3.77E-05,-4.06E-05
-2.82E-07,-1.33E-05,-4.19E-05,-4.41E-05,-6.51E-05,-3.96E-05,-3.79E-05,-4.11E-05
1.51E-07,-1.41E-05,-3.85E-05,-3.70E-05,-6.03E-05,-3.55E-05,-3.74E-05,-4.16E-05
7.26E-08,-1.56E-05,-3.34E-05,-3.15E-05,-5.53E-05,-3.05E-05,-3.52E-05,-4.09E-05
-5.38E-07,-1.77E-05,-2.68E-05,-2.80E-05,-5.06E-05,-2.52E-05,-3.08E-05,-3.79E-05
-1.66E-06,-2.03E-05,-1.91E-05,-2.66E-05,-4.68E-05,-2.00E-05,-2.37E-05,-3.18E-05
-3.14E-06,-2.33E-05,-1.05E-05,-2.69E-05,-4.41E-05,-1.53E-05,-1.46E-05,-2.25E-05
-4.71E-06,-2.65E-05,-1.15E-06,-2.86E-05,-4.23E-05,-1.11E-05,-4.49E-06,-1.11E-05
-6.03E-06,-2.95E-05,8.53E-06,-3.11E-05,-4.13E-05,-7.50E-06,5.30E-06,9.84E-07
-6.91E-06,-3.18E-05,1.82E-05,-3.41E-05,-4.07E-05,-4.27E-06,1.35E-05,1.20E-05
-7.29E-06,-3.33E-05,2.72E-05,-3.77E-05,-4.02E-05,-1.36E-06,1.94E-05,2.06E-05
-7.28E-06,-3.37E-05,3.48E-05,-4.21E-05,-3.94E-05,1.17E-06,2.28E-05,2.60E-05
-6.96E-06,-3.30E-05,4.01E-05,-4.74E-05,-3.81E-05,3.10E-06,2.37E-05,2.81E-05
-6.27E-06,-3.13E-05,4.23E-05,-5.33E-05,-3.63E-05,4.18E-06,2.27E-05,2.71E-05
-5.06E-06,-2.86E-05,4.11E-05,-5.91E-05,-3.40E-05,4.27E-06,2.05E-05,2.39E-05
-3.18E-06,-2.53E-05,3.67E-05,-6.40E-05,-3.15E-05,3.46E-06,1.77E-05,1.90E-05
-5.20E-07,-2.14E-05,2.96E-05,-6.70E-05,-2.90E-05,1.97E-06,1.50E-05,1.31E-05
2.92E-06,-1.70E-05,2.05E-05,-6.81E-05,-2.66E-05,1.04E-07,1.28E-05,6.82E-06
7.16E-06,-1.19E-05,9.99E-06,-6.75E-05,-2.42E-05,-1.89E-06,1.09E-05,5.14E-07
1.21E-05,-6.20E-06,-1.12E-06,-6.59E-05,-2.16E-05,-3.80E-06,9.58E-06,-5.18E-06
1.73E-05,-9.93E-08,-1.20E-05,-6.38E-05,-1.84E-05,-5.41E-06,8.93E-06,-9.53E-06
2.24E-05,5.91E-06,-2.18E-05,-6.16E-05,-1.47E-05,-6.63E-06,9.19E-06,-1.18E-05
2.67E-05,1.12E-05,-2.94E-05,-5.92E-05,-1.08E-05,-7.47E-06,1.05E-05,-1.18E-05
